secteur,Intervalle15Minutes,energie_sum_secteur,nb_installations
Residentiel,2019-10-24 00:00:00+00:00,925929.870100002,3272446
Residentiel,2019-10-24 00:15:00+00:00,908275.1332000004,3272453
Residentiel,2019-10-24 00:30:00+00:00,897166.1645999999,3272380
Residentiel,2019-10-24 00:45:00+00:00,887792.7723000007,3274304
Residentiel,2019-10-24 01:00:00+00:00,878379.4766000016,3273565
Residentiel,2019-10-24 01:15:00+00:00,867349.5553000021,3259857
Residentiel,2019-10-24 01:30:00+00:00,870836.5661999993,3274259
Residentiel,2019-10-24 01:45:00+00:00,868605.9191,3274361
Residentiel,2019-10-24 02:00:00+00:00,866742.0326000005,3274402
Residentiel,2019-10-24 02:15:00+00:00,863792.3515000008,3274171
Residentiel,2019-10-24 02:30:00+00:00,863712.2716999992,3274205
Residentiel,2019-10-24 02:45:00+00:00,865374.4922000011,3274246
Residentiel,2019-10-24 03:00:00+00:00,869175.1231000007,3274250
Residentiel,2019-10-24 03:15:00+00:00,872608.2937,3274270
Residentiel,2019-10-24 03:30:00+00:00,876877.9008000011,3274880
Residentiel,2019-10-24 03:45:00+00:00,883906.1524999999,3274979
Residentiel,2019-10-24 04:00:00+00:00,895925.6713999995,3274928
Residentiel,2019-10-24 04:15:00+00:00,908394.4614000008,3274907
Residentiel,2019-10-24 04:30:00+00:00,925465.1668000014,3274902
Residentiel,2019-10-24 04:45:00+00:00,945141.9327999988,3274893
Residentiel,2019-10-24 05:00:00+00:00,983797.6556000024,3274846
Residentiel,2019-10-24 05:15:00+00:00,1017344.308800004,3274774
Residentiel,2019-10-24 05:30:00+00:00,1063199.885400001,3274762
Residentiel,2019-10-24 05:45:00+00:00,1116712.6862,3274715
Residentiel,2019-10-24 06:00:00+00:00,1195290.6853999982,3274635
Residentiel,2019-10-24 06:15:00+00:00,1250827.0275000026,3274591
Residentiel,2019-10-24 06:30:00+00:00,1302675.336400003,3274781
Residentiel,2019-10-24 06:45:00+00:00,1345931.5612000003,3274626
Residentiel,2019-10-24 07:00:00+00:00,1382116.769999999,3274504
Residentiel,2019-10-24 07:15:00+00:00,1396430.3082999983,3274228
Residentiel,2019-10-24 07:30:00+00:00,1388448.1643000022,3273929
Residentiel,2019-10-24 07:45:00+00:00,1362876.2606000002,3273495
Residentiel,2019-10-24 08:00:00+00:00,1328539.3258999994,3273074
Residentiel,2019-10-24 08:15:00+00:00,1294696.0042000003,3272628
Residentiel,2019-10-24 08:30:00+00:00,1265476.2440000016,3272044
Residentiel,2019-10-24 08:45:00+00:00,1229015.3539000016,3270355
Residentiel,2019-10-24 09:00:00+00:00,1197132.5180000043,3267022
Residentiel,2019-10-24 09:15:00+00:00,1179817.6047000033,3265833
Residentiel,2019-10-24 09:30:00+00:00,1166247.255500001,3264667
Residentiel,2019-10-24 09:45:00+00:00,1156716.1965999994,3265286
Residentiel,2019-10-24 10:00:00+00:00,1146763.355099999,3262624
Residentiel,2019-10-24 10:15:00+00:00,1133573.6421000003,3260631
Residentiel,2019-10-24 10:30:00+00:00,1122318.4952999991,3261173
Residentiel,2019-10-24 10:45:00+00:00,1105257.9453000012,3257388
Residentiel,2019-10-24 11:00:00+00:00,1107527.5348999985,3261163
Residentiel,2019-10-24 11:15:00+00:00,1115871.1823999994,3261659
Residentiel,2019-10-24 11:30:00+00:00,1127069.9897000007,3262022
Residentiel,2019-10-24 11:45:00+00:00,1139094.0596999996,3261418
Residentiel,2019-10-24 12:00:00+00:00,1143407.5818000014,3260886
Residentiel,2019-10-24 12:15:00+00:00,1147730.5290999997,3260207
Residentiel,2019-10-24 12:30:00+00:00,1140495.0177000004,3259443
Residentiel,2019-10-24 12:45:00+00:00,1132139.5283000022,3258885
Residentiel,2019-10-24 13:00:00+00:00,1105445.4664000007,3195997
Residentiel,2019-10-24 13:15:00+00:00,1032868.9859999998,2994726
Residentiel,2019-10-24 13:30:00+00:00,962242.469799999,2793941
Residentiel,2019-10-24 13:45:00+00:00,952845.0195000004,2792155
Residentiel,2019-10-24 14:00:00+00:00,949751.6181000008,2791807
Residentiel,2019-10-24 14:15:00+00:00,948363.4347999992,2795788
Residentiel,2019-10-24 14:30:00+00:00,949674.9306000008,2796767
Residentiel,2019-10-24 14:45:00+00:00,951370.2574999994,2796595
Residentiel,2019-10-24 15:00:00+00:00,958255.673400002,2798027
Residentiel,2019-10-24 15:15:00+00:00,961857.1625999968,2798692
Residentiel,2019-10-24 15:30:00+00:00,974112.5053999996,2799200
Residentiel,2019-10-24 15:45:00+00:00,992470.3810000004,2799903
Residentiel,2019-10-24 16:00:00+00:00,1027201.3913999988,2800491
Residentiel,2019-10-24 16:15:00+00:00,1058705.4587999997,2801184
Residentiel,2019-10-24 16:30:00+00:00,1099259.3836000024,2801735
Residentiel,2019-10-24 16:45:00+00:00,1095802.4962000002,2782407
Residentiel,2019-10-24 17:00:00+00:00,1137686.6673000024,2821853
Residentiel,2019-10-24 17:15:00+00:00,1288636.6773999997,3042421
Residentiel,2019-10-24 17:30:00+00:00,1455355.9635000017,3270904
Residentiel,2019-10-24 17:45:00+00:00,1508090.1696999974,3270832
Residentiel,2019-10-24 18:00:00+00:00,1535074.5141,3270881
Residentiel,2019-10-24 18:15:00+00:00,1555441.6013000004,3270821
Residentiel,2019-10-24 18:30:00+00:00,1557747.4249999966,3270863
Residentiel,2019-10-24 18:45:00+00:00,1552297.1149999988,3270780
Residentiel,2019-10-24 19:00:00+00:00,1544834.4814,3270470
Residentiel,2019-10-24 19:15:00+00:00,1537220.8709,3270542
Residentiel,2019-10-24 19:30:00+00:00,1524473.5691999996,3270615
Residentiel,2019-10-24 19:45:00+00:00,1514759.6398999952,3270303
Residentiel,2019-10-24 20:00:00+00:00,1502671.327900001,3270389
Residentiel,2019-10-24 20:15:00+00:00,1479204.4294000017,3270156
Residentiel,2019-10-24 20:30:00+00:00,1454865.378,3270044
Residentiel,2019-10-24 20:45:00+00:00,1432640.9388,3269909
Residentiel,2019-10-24 21:00:00+00:00,1420701.7761000018,3269806
Residentiel,2019-10-24 21:15:00+00:00,1401475.0432000011,3269705
Residentiel,2019-10-24 21:30:00+00:00,1375457.1314999976,3269613
Residentiel,2019-10-24 21:45:00+00:00,1344783.3104999994,3269488
Residentiel,2019-10-24 22:00:00+00:00,1305648.8015999994,3269397
Residentiel,2019-10-24 22:15:00+00:00,1274052.0793000003,3269237
Residentiel,2019-10-24 22:30:00+00:00,1234198.850600002,3269191
Residentiel,2019-10-24 22:45:00+00:00,1192457.3294000018,3269071
Residentiel,2019-10-24 23:00:00+00:00,1154538.6344000006,3269017
Residentiel,2019-10-24 23:15:00+00:00,1126267.8649000004,3268949
Residentiel,2019-10-24 23:30:00+00:00,1098403.8630000013,3269006
Residentiel,2019-10-24 23:45:00+00:00,1077814.9459999993,3269081
Residentiel,2019-10-25 00:00:00+00:00,1158297.0138000012,3622587
Residentiel,2019-10-25 00:15:00+00:00,1143094.2767,3620722
Residentiel,2019-10-25 00:30:00+00:00,1133889.8220000006,3620796
Residentiel,2019-10-25 00:45:00+00:00,1126028.0492000014,3621985
Residentiel,2019-10-25 01:00:00+00:00,1122921.8702000002,3622000
Residentiel,2019-10-25 01:15:00+00:00,1113049.9040999976,3606916
Residentiel,2019-10-25 01:30:00+00:00,1114012.2645000007,3622127
Residentiel,2019-10-25 01:45:00+00:00,1112426.019199998,3622210
Residentiel,2019-10-25 02:00:00+00:00,1112770.0622999985,3620860
Residentiel,2019-10-25 02:15:00+00:00,1115623.1116000006,3619514
Residentiel,2019-10-25 02:30:00+00:00,1120294.8002999967,3619848
Residentiel,2019-10-25 02:45:00+00:00,1126969.5889999992,3619991
Residentiel,2019-10-25 03:00:00+00:00,1129122.1455999992,3619447
Residentiel,2019-10-25 03:15:00+00:00,1134737.9656999984,3619692
Residentiel,2019-10-25 03:30:00+00:00,1142281.2681999998,3621304
Residentiel,2019-10-25 03:45:00+00:00,1150349.349300001,3621314
Residentiel,2019-10-25 04:00:00+00:00,1161208.8400000026,3621375
Residentiel,2019-10-25 04:15:00+00:00,1181893.0014999998,3622250
Residentiel,2019-10-25 04:30:00+00:00,1202113.5322999996,3622075
Residentiel,2019-10-25 04:45:00+00:00,1224341.6175999995,3622262
Residentiel,2019-10-25 05:00:00+00:00,1265011.9637999968,3621602
Residentiel,2019-10-25 05:15:00+00:00,1301816.6821,3621163
Residentiel,2019-10-25 05:30:00+00:00,1353428.4375000016,3621231
Residentiel,2019-10-25 05:45:00+00:00,1408907.4480999976,3622847
Residentiel,2019-10-25 06:00:00+00:00,1499350.3218000014,3622929
Residentiel,2019-10-25 06:15:00+00:00,1559878.1299999997,3622954
Residentiel,2019-10-25 06:30:00+00:00,1614350.5098999976,3623482
Residentiel,2019-10-25 06:45:00+00:00,1656530.0809,3623416
Residentiel,2019-10-25 07:00:00+00:00,1700425.816099999,3623227
Residentiel,2019-10-25 07:15:00+00:00,1722889.5495999989,3622866
Residentiel,2019-10-25 07:30:00+00:00,1720550.7242000003,3622666
Residentiel,2019-10-25 07:45:00+00:00,1706251.2579,3622021
Residentiel,2019-10-25 08:00:00+00:00,1675851.0347999963,3619963
Residentiel,2019-10-25 08:15:00+00:00,1658025.1168999982,3619818
Residentiel,2019-10-25 08:30:00+00:00,1636953.2460999994,3618101
Residentiel,2019-10-25 08:45:00+00:00,1615461.2351000004,3615607
Residentiel,2019-10-25 09:00:00+00:00,1591596.5976000002,3619033
Residentiel,2019-10-25 09:15:00+00:00,1565996.4559000018,3620341
Residentiel,2019-10-25 09:30:00+00:00,1535465.7205000017,3620377
Residentiel,2019-10-25 09:45:00+00:00,1506640.8129999994,3620395
Residentiel,2019-10-25 10:00:00+00:00,1490738.8400000029,3619770
Residentiel,2019-10-25 10:15:00+00:00,1480579.6395000007,3618760
Residentiel,2019-10-25 10:30:00+00:00,1468794.9678999984,3619938
Residentiel,2019-10-25 10:45:00+00:00,1453611.5530000017,3619938
Residentiel,2019-10-25 11:00:00+00:00,1439640.8396999976,3619660
Residentiel,2019-10-25 11:15:00+00:00,1431639.126100001,3620048
Residentiel,2019-10-25 11:30:00+00:00,1420202.3261000009,3619090
Residentiel,2019-10-25 11:45:00+00:00,1415361.3127,3620990
Residentiel,2019-10-25 12:00:00+00:00,1409396.9957,3621133
Residentiel,2019-10-25 12:15:00+00:00,1395148.5756999997,3619444
Residentiel,2019-10-25 12:30:00+00:00,1380873.9169000022,3616764
Residentiel,2019-10-25 12:45:00+00:00,1360109.9949999994,3617390
Residentiel,2019-10-25 13:00:00+00:00,1317589.9804999975,3550079
Residentiel,2019-10-25 13:15:00+00:00,1217011.1593000009,3329503
Residentiel,2019-10-25 13:30:00+00:00,1170732.6093999995,3255773
Residentiel,2019-10-25 13:45:00+00:00,1149554.1495999985,3255531
Residentiel,2019-10-25 14:00:00+00:00,1133567.7875999992,3253455
Residentiel,2019-10-25 14:15:00+00:00,1124417.5841999992,3255517
Residentiel,2019-10-25 14:30:00+00:00,1114541.4146000005,3254586
Residentiel,2019-10-25 14:45:00+00:00,1111142.7841000007,3255619
Residentiel,2019-10-25 15:00:00+00:00,1120430.4765000003,3255518
Residentiel,2019-10-25 15:15:00+00:00,1134806.2123000016,3255558
Residentiel,2019-10-25 15:30:00+00:00,1152714.1294000018,3253955
Residentiel,2019-10-25 15:45:00+00:00,1178151.1617999969,3255048
Residentiel,2019-10-25 16:00:00+00:00,1218091.4370000002,3255174
Residentiel,2019-10-25 16:15:00+00:00,1256186.3792999997,3255002
Residentiel,2019-10-25 16:30:00+00:00,1300258.6313000035,3254798
Residentiel,2019-10-25 16:45:00+00:00,1294628.5209999986,3230545
Residentiel,2019-10-25 17:00:00+00:00,1365776.1632000012,3283883
Residentiel,2019-10-25 17:15:00+00:00,1577520.5368999986,3542516
Residentiel,2019-10-25 17:30:00+00:00,1685866.3594999984,3620358
Residentiel,2019-10-25 17:45:00+00:00,1721675.771499998,3620200
Residentiel,2019-10-25 18:00:00+00:00,1757870.7673999986,3620078
Residentiel,2019-10-25 18:15:00+00:00,1770500.7383999974,3619722
