station_name_epw,filename_epw,lat_epw,lon_epw,station_name_cweeds,lat_cweeds,lon_cweeds,distance_km,coords_match
AMQUI,CAN_QC_Amqui.713860_CWEC2020.zip,48.47,-67.43,AMQUI,48.47,-67.43,0.0,True
BAGOTVILLE,CAN_QC_Bagotville.AP.717270_CWEC2020.zip,48.33,-71.0,BAGOTVILLE A,48.33,-71.0,0.0,True
BAIE-COMEAU,CAN_QC_Baie.Comeau.718290_CWEC2020.zip,49.26,-68.15,BAIE-COMEAU,49.26,-68.15,0.0,True
BAIE-COMEAU A,CAN_QC_Baie.Comeau.718290_CWEC2020.zip,49.26,-68.15,BAIE-COMEAU,49.26,-68.15,0.0,True
BARRAGE TEMISCAMINGUE,CAN_QC_Barrage.Temiscamingue.717320_CWEC2020.zip,46.71,-79.1,BARRAGE TEMISCAMINGUE,46.71,-79.1,0.0,True
BEAUCEVILLE,CAN_QC_Beauceville.713230_CWEC2020.zip,46.21,-70.78,BEAUCEVILLE,46.21,-70.78,0.0,True
BONNARD,CAN_QC_Bonnard.713830_CWEC2020.zip,50.73,-71.01,BONNARD 1,50.73,-71.01,0.0,True
CAP-D'ESPOIR,CAN_QC_Cap.Despoir.714290_CWEC2020.zip,48.42,-64.32,CAP-D'ESPOIR,48.42,-64.32,0.0,True
CAP-MADELEINE,CAN_QC_Cap.Madeleine.714250_CWEC2020.zip,49.25,-65.32,CAP-MADELEINE,49.25,-65.32,0.0,True
CAP-ROUGE,CAN_QC_Cap.Rouge.711860_CWEC2020.zip,48.37,-70.54,CAP-ROUGE,48.37,-70.54,0.0,True
CAP-TOURMENTE,CAN_QC_Cap.Tourmente.713840_CWEC2020.zip,47.08,-70.78,CAP-TOURMENTE,47.08,-70.78,0.0,True
CHAMOUCHOUANE,CAN_QC_Chamouchouane.715230_CWEC2020.zip,49.28,-73.36,CHAMOUCHOUANE,49.28,-73.36,0.0,True
CHARLEVOIX,CAN_QC_Charlevoix.Mrc.713190_CWEC2020.zip,47.28,-70.64,CHARLEVOIX (MRC),47.28,-70.64,0.0,True
CHEVERY,CAN_QC_Chevery.718140_CWEC2020.zip,50.47,-59.64,CHEVERY,50.47,-59.64,0.0,True
CHUTE-DES-PASSES,CAN_QC_Chute.Des.Passes.715220_CWEC2020.zip,49.84,-71.17,CHUTE-DES-PASSES,49.84,-71.17,0.0,True
DESCHAMBAULT,CAN_QC_Deschambault.713890_CWEC2020.zip,46.69,-71.97,DESCHAMBAULT,46.69,-71.97,0.0,True
FRELIGHSBURG,CAN_QC_Frelighsburg.713730_CWEC2020.zip,45.03,-72.85,FRELIGHSBURG,45.03,-72.85,0.0,True
GASPE,CAN_QC_Gaspe.AP.711880_CWEC2020.zip,48.78,-64.48,GASPE A,48.78,-64.48,0.0,True
HAVRE ST-PIERRE,CAN_QC_Havre.St.Pierre.715840_CWEC2020.zip,50.28,-63.61,HAVRE ST. PIERRE,50.28,-63.61,0.0,True
ILE AUX PERROQUETS,CAN_QC_Ile.Aux.Perroquets.713750_CWEC2020.zip,50.22,-64.21,ILE AUX PERROQUETS,50.22,-64.21,0.0,True
ILE ROUGE,CAN_QC_Ile.Rouge.714260_CWEC2020.zip,48.07,-69.56,ILE ROUGE,48.07,-69.56,0.0,True
ILES DE LA MADELEINE,CAN_QC_Iles.De.La.Madeleine.717100_CWEC2020.zip,47.43,-61.77,ILES DE LA MADELEINE,47.43,-61.77,0.0,True
INUKJUAK,CAN_QC_Inukjuak.AP.719070_CWEC2020.zip,58.47,-78.08,INUKJUAK A,58.47,-78.08,0.0,True
JONQUIERE,CAN_QC_Jonquiere.716170_CWEC2020.zip,48.43,-71.14,JONQUIERE,48.43,-71.14,0.0,True
KUUJJUAQ,CAN_QC_Kuujjuaq.AP.719060_CWEC2020.zip,58.09,-68.42,KUUJJUAQ A,58.09,-68.42,0.0,True
KUUJJUARAPIK,CAN_QC_Kuujjuarapik.AP.CAN001_CWEC2020.zip,55.28,-77.77,KUUJJUARAPIK A,55.28,-77.77,0.0,True
L'ACADIE,CAN_QC_Lacadie.713720_CWEC2020.zip,45.29,-73.35,L'ACADIE,45.29,-73.35,0.0,True
L'ASSOMPTION,CAN_QC_Lassomption.715240_CWEC2020.zip,45.81,-73.43,L'ASSOMPTION,45.81,-73.43,0.0,True
L'ETAPE,CAN_QC_Letape.713820_CWEC2020.zip,47.56,-71.23,L'ETAPE,47.56,-71.23,0.0,True
LA BAIE,CAN_QC_La.Baie.713880_CWEC2020.zip,48.3,-70.92,LA BAIE,48.3,-70.92,0.0,True
LA POCATIERE,CAN_QC_La.Pocatiere.717130_CWEC2020.zip,47.36,-70.03,LA POCATIERE,47.36,-70.03,0.0,True
LA TUQUE,CAN_QC_La.Tuque.713780_CWEC2020.zip,47.41,-72.79,LA TUQUE,47.41,-72.79,0.0,True
LAC BENOIT,CAN_QC_Lac.Benoit.715200_CWEC2020.zip,51.53,-71.11,LAC BENOIT,51.53,-71.11,0.0,True
LAC EON,CAN_QC_Lac.Eon.714210_CWEC2020.zip,51.87,-63.28,LAC EON,51.87,-63.28,0.0,True
LENNOXVILLE,CAN_QC_Lennoxville.716110_CWEC2020.zip,45.37,-71.82,LENNOXVILLE,45.37,-71.82,0.0,True
LONGUE-POINTE-DE-MINGAN,CAN_QC_Longue.Pointe.De.Mingan.715120_CWEC2020.zip,50.27,-64.23,LONGUE-POINTE-DE-MINGAN,50.27,-64.23,0.0,True
LOURDES DE BLANC SABLON,CAN_QC_Lourdes.De.Blanc.Sablon.AP.718080_CWEC2020.zip,51.44,-57.19,LOURDES DE BLANC SABLON A,51.44,-57.19,0.0,True
MANIWAKI AIRPORT,CAN_QC_Maniwaki.Airport.717210_CWEC2020.zip,46.27,-75.99,MANIWAKI AIRPORT,46.27,-75.99,0.0,True
MANOUANE,CAN_QC_Manouane.Est.715210_CWEC2020.zip,50.66,-70.53,MANOUANE EST,50.66,-70.53,0.0,True
MATAGAMI,CAN_QC_Matagami.AP.719470_CWEC2020.zip,49.76,-77.8,MATAGAMI A,49.76,-77.8,0.0,True
MCTAVISH,CAN_QC_Mctavish.716120_CWEC2020.zip,45.5,-73.58,MCTAVISH,45.5,-73.58,0.0,True
MONT JOLI,CAN_QC_Mont.Joli.AP.717180_CWEC2020.zip,48.61,-68.21,MONT JOLI A,48.61,-68.21,0.0,True
MONTREAL INTL,CAN_QC_Montreal.Intl.AP.716270_CWEC2020.zip,45.47,-73.74,MONTREAL INTL A,45.47,-73.74,0.0,True
MONTREAL MIRABEL  INTL,CAN_QC_Montreal.Mirabel.Intl.AP.CAN002_CWEC2020.zip,45.68,-74.03,MONTREAL MIRABEL INTL A,45.68,-74.03,0.0,True
MONTREAL-ST-HUBERT,CAN_QC_Montreal.St.Hubert.713710_CWEC2020.zip,45.52,-73.42,MONTREAL-ST-HUBERT,45.52,-73.42,0.0,True
NATASHQUAN,CAN_QC_Natashquan.AP.718130_CWEC2020.zip,50.19,-61.81,NATASHQUAN A,50.19,-61.81,0.0,True
NEW CARLISLE,CAN_QC_New.Carlisle.716190_CWEC2020.zip,48.01,-65.33,NEW CARLISLE 1,48.01,-65.33,0.0,True
NICOLET,CAN_QC_Nicolet.717230_CWEC2020.zip,46.23,-72.66,NICOLET,46.23,-72.66,0.0,True
NORMANDIN,CAN_QC_Normandin.713790_CWEC2020.zip,48.84,-72.55,NORMANDIN,48.84,-72.55,0.0,True
POINTE CLAVEAU,CAN_QC_Pointe.Claveau.711890_CWEC2020.zip,48.26,-70.11,POINTE CLAVEAU,48.26,-70.11,0.0,True
POINTE DE L'ISLET,CAN_QC_Pointe.De.Lislet.711900_CWEC2020.zip,48.14,-69.72,POINTE DE L'ISLET,48.14,-69.72,0.0,True
POINTE NOIRE,CAN_QC_Pointe.Noire.CS.713900_CWEC2020.zip,50.16,-66.43,POINTE NOIRE CS,50.16,-66.43,0.0,True
POINTE-AU-PERE,CAN_QC_Pointe.Au.Pere.Inrs.715540_CWEC2020.zip,48.51,-68.47,POINTE-AU-PERE (INRS),48.51,-68.47,0.0,True
POINTE-DES-MONTS,CAN_QC_Pointe.Des.Monts.714270_CWEC2020.zip,49.32,-67.38,POINTE-DES-MONTS,49.32,-67.38,0.0,True
QUEBEC INTL,CAN_QC_Quebec.Intl.AP.717140_CWEC2020.zip,46.8,-71.38,QUEBEC INTL A,46.8,-71.38,0.0,True
RIVIERE-DU-LOUP,CAN_QC_Riviere.Du.Loup.717150_CWEC2020.zip,47.81,-69.55,RIVIERE-DU-LOUP,47.81,-69.55,0.0,True
ROBERVAL,CAN_QC_Roberval.AP.717280_CWEC2020.zip,48.52,-72.27,ROBERVAL A,48.52,-72.27,0.0,True
ROUYN,CAN_QC_Rouyn.717340_CWEC2020.zip,48.25,-79.03,ROUYN,48.25,-79.03,0.0,True
ROUYN-NORANDA,CAN_QC_Rouyn.Noranda.AP.717255_CWEC2020.zip,48.21,-78.84,ROUYN-NORANDA A,48.21,-78.84,0.0,True
SCHEFFERVILLE,CAN_QC_Schefferville.AP.719210_CWEC2020.zip,54.81,-66.81,SCHEFFERVILLE A,54.81,-66.81,0.0,True
SEPT-ILES,CAN_QC_Sept.Iles.AP.718110_CWEC2020.zip,50.22,-66.27,SEPT-ILES A,50.22,-66.27,0.0,True
ST-ANICET,CAN_QC_St.Anicet.717120_CWEC2020.zip,45.12,-74.29,ST-ANICET 1,45.12,-74.29,0.0,True
ST-JOVITE,CAN_QC_St.Jovite.713760_CWEC2020.zip,46.08,-74.56,ST-JOVITE,46.08,-74.56,0.0,True
STE-ANNE-DE-BELLEVUE,CAN_QC_Ste.Anne.De.Bellevue.713770_CWEC2020.zip,45.43,-73.93,STE-ANNE-DE-BELLEVUE 1,45.43,-73.93,0.0,True
STE-CLOTHILDE,CAN_QC_Ste.Clothilde.716140_CWEC2020.zip,45.17,-73.68,STE-CLOTHILDE,45.17,-73.68,0.0,True
STE-FOY,CAN_QC_Rouyn.717340_CWEC2020.zip,48.25,-79.03,ROUYN,48.25,-79.03,0.0,True
VAL-D'OR,CAN_QC_Val.Dor.717250_CWEC2020.zip,48.06,-77.79,VAL-D'OR,48.06,-77.79,0.0,True
