station_name_epw,filename_epw,lat_epw,lon_epw,station_name_cweeds,lat_cweeds,lon_cweeds,distance_km,coords_match,geometry,weather_zone
AMQUI,CAN_QC_Amqui.713860_CWEC2020.zip,48.47,-67.43,AMQUI,48.47,-67.43,0.0,True,POINT (78785.98743885075 497333.7168531992),491.0
BAGOTVILLE,CAN_QC_Bagotville.AP.717270_CWEC2020.zip,48.33,-71.0,BAGOTVILLE A,48.33,-71.0,0.0,True,POINT (-184590.35336516745 484465.54673808394),462.0
BAIE-COMEAU,CAN_QC_Baie.Comeau.718290_CWEC2020.zip,49.26,-68.15,BAIE-COMEAU,49.26,-68.15,0.0,True,POINT (25344.307629785286 584246.7068092225),462.0
BAIE-COMEAU A,CAN_QC_Baie.Comeau.718290_CWEC2020.zip,49.26,-68.15,BAIE-COMEAU,49.26,-68.15,0.0,True,POINT (25344.307629785286 584246.7068092225),462.0
BARRAGE TEMISCAMINGUE,CAN_QC_Barrage.Temiscamingue.717320_CWEC2020.zip,46.71,-79.1,BARRAGE TEMISCAMINGUE,46.71,-79.1,0.0,True,POINT (-806471.8011216599 361463.0162801584),448.0
BEAUCEVILLE,CAN_QC_Beauceville.713230_CWEC2020.zip,46.21,-70.78,BEAUCEVILLE,46.21,-70.78,0.0,True,POINT (-175843.010578539 248895.00031444067),491.0
BONNARD,CAN_QC_Bonnard.713830_CWEC2020.zip,50.73,-71.01,BONNARD 1,50.73,-71.01,0.0,True,POINT (-176018.42827677343 749809.9809937673),462.0
CAP-D'ESPOIR,CAN_QC_Cap.Despoir.714290_CWEC2020.zip,48.42,-64.32,CAP-D'ESPOIR,48.42,-64.32,0.0,True,POINT (307940.47402631206 500204.23343676963),491.0
CAP-MADELEINE,CAN_QC_Cap.Madeleine.714250_CWEC2020.zip,49.25,-65.32,CAP-MADELEINE,49.25,-65.32,0.0,True,POINT (230245.42456652704 588195.0317831549),462.0
CAP-ROUGE,CAN_QC_Cap.Rouge.711860_CWEC2020.zip,48.37,-70.54,CAP-ROUGE,48.37,-70.54,0.0,True,POINT (-150509.6978832408 487816.24078316597),462.0
CAP-TOURMENTE,CAN_QC_Cap.Tourmente.713840_CWEC2020.zip,47.08,-70.78,CAP-TOURMENTE,47.08,-70.78,0.0,True,POINT (-172765.98440567142 345437.8146182454),491.0
CHAMOUCHOUANE,CAN_QC_Chamouchouane.715230_CWEC2020.zip,49.28,-73.36,CHAMOUCHOUANE,49.28,-73.36,0.0,True,POINT (-351504.5781788106 598338.2691682217),491.0
CHARLEVOIX,CAN_QC_Charlevoix.Mrc.713190_CWEC2020.zip,47.28,-70.64,CHARLEVOIX (MRC),47.28,-70.64,0.0,True,POINT (-161497.45095183945 367285.9160175803),491.0
CHEVERY,CAN_QC_Chevery.718140_CWEC2020.zip,50.47,-59.64,CHEVERY,50.47,-59.64,0.0,True,POINT (623413.6420603597 756629.4741634775),462.0
CHUTE-DES-PASSES,CAN_QC_Chute.Des.Passes.715220_CWEC2020.zip,49.84,-71.17,CHUTE-DES-PASSES,49.84,-71.17,0.0,True,POINT (-190903.70147683725 651899.4663335595),462.0
DESCHAMBAULT,CAN_QC_Deschambault.713890_CWEC2020.zip,46.69,-71.97,DESCHAMBAULT,46.69,-71.97,0.0,True,POINT (-264977.1157357386 305828.744752995),491.0
FRELIGHSBURG,CAN_QC_Frelighsburg.713730_CWEC2020.zip,45.03,-72.85,FRELIGHSBURG,45.03,-72.85,0.0,True,POINT (-343313.99530150124 125275.47580489352),479.0
GASPE,CAN_QC_Gaspe.AP.711880_CWEC2020.zip,48.78,-64.48,GASPE A,48.78,-64.48,0.0,True,POINT (293928.03625464236 539323.6877423644),462.0
HAVRE ST-PIERRE,CAN_QC_Havre.St.Pierre.715840_CWEC2020.zip,50.28,-63.61,HAVRE ST. PIERRE,50.28,-63.61,0.0,True,POINT (346119.96375690866 708815.4408647865),462.0
ILE AUX PERROQUETS,CAN_QC_Ile.Aux.Perroquets.713750_CWEC2020.zip,50.22,-64.21,ILE AUX PERROQUETS,50.22,-64.21,0.0,True,POINT (304103.10715410253 699470.2868608405),462.0
ILE ROUGE,CAN_QC_Ile.Rouge.714260_CWEC2020.zip,48.07,-69.56,ILE ROUGE,48.07,-69.56,0.0,True,POINT (-78705.96175487443 453023.7254656937),462.0
ILES DE LA MADELEINE,CAN_QC_Iles.De.La.Madeleine.717100_CWEC2020.zip,47.43,-61.77,ILES DE LA MADELEINE,47.43,-61.77,0.0,True,POINT (505651.9308554297 405300.79171237076),491.0
INUKJUAK,CAN_QC_Inukjuak.AP.719070_CWEC2020.zip,58.47,-78.08,INUKJUAK A,58.47,-78.08,0.0,True,POINT (-555681.7720267973 1640065.4482435407),462.0
JONQUIERE,CAN_QC_Jonquiere.716170_CWEC2020.zip,48.43,-71.14,JONQUIERE,48.43,-71.14,0.0,True,POINT (-194514.38035794496 495903.7047210282),462.0
KUUJJUAQ,CAN_QC_Kuujjuaq.AP.719060_CWEC2020.zip,58.09,-68.42,KUUJJUAQ A,58.09,-68.42,0.0,True,POINT (4701.395626068313 1560634.088173071),462.0
